user_uid,product_uid
USR_4b971c383f,PRD_372c826dc0
USR_4b971c383f,PRD_372c826dc0
USR_4b971c383f,PRD_372c826dc0
USR_4b971c383f,PRD_372c826dc0
USR_4b971c383f,PRD_372c826dc0
USR_4b971c383f,PRD_372c826dc0
USR_4b971c383f,PRD_372c826dc0
USR_4b971c383f,PRD_3ef07ed3f5
USR_4b971c383f,PRD_3ef07ed3f5
USR_4b971c383f,PRD_3ef07ed3f5
USR_4b971c383f,PRD_3ef07ed3f5
USR_4b971c383f,PRD_3ef07ed3f5
USR_4b971c383f,PRD_3ef07ed3f5
USR_4b971c383f,PRD_3ef07ed3f5
USR_4b971c383f,PRD_e3f878f5a4
USR_4b971c383f,PRD_e3f878f5a4
USR_4b971c383f,PRD_e3f878f5a4
USR_4b971c383f,PRD_e3f878f5a4
USR_4b971c383f,PRD_e3f878f5a4
USR_4b971c383f,PRD_e3f878f5a4
USR_4b971c383f,PRD_e3f878f5a4
USR_4b971c383f,PRD_711c03580e
USR_4b971c383f,PRD_711c03580e
USR_4b971c383f,PRD_711c03580e
USR_4b971c383f,PRD_711c03580e
USR_4b971c383f,PRD_711c03580e
USR_4b971c383f,PRD_711c03580e
USR_4b971c383f,PRD_711c03580e
USR_4b971c383f,PRD_4af204652c
USR_4b971c383f,PRD_4af204652c
USR_4b971c383f,PRD_4af204652c
USR_4b971c383f,PRD_4af204652c
USR_4b971c383f,PRD_4af204652c
USR_4b971c383f,PRD_4af204652c
USR_4b971c383f,PRD_4af204652c
USR_4b971c383f,PRD_47e203b2d8
USR_4b971c383f,PRD_47e203b2d8
USR_4b971c383f,PRD_47e203b2d8
USR_4b971c383f,PRD_47e203b2d8
USR_4b971c383f,PRD_47e203b2d8
USR_4b971c383f,PRD_47e203b2d8
USR_4b971c383f,PRD_47e203b2d8
USR_4b971c383f,PRD_fc8e425281
USR_4b971c383f,PRD_fc8e425281
USR_4b971c383f,PRD_fc8e425281
USR_4b971c383f,PRD_fc8e425281
USR_4b971c383f,PRD_fc8e425281
USR_4b971c383f,PRD_fc8e425281
USR_4b971c383f,PRD_fc8e425281
USR_aceda5439a,PRD_31242662a4
USR_aceda5439a,PRD_31242662a4
USR_aceda5439a,PRD_31242662a4
USR_aceda5439a,PRD_31242662a4
USR_aceda5439a,PRD_31242662a4
USR_aceda5439a,PRD_f1d27d37d0
USR_aceda5439a,PRD_f1d27d37d0
USR_aceda5439a,PRD_f1d27d37d0
USR_aceda5439a,PRD_f1d27d37d0
USR_aceda5439a,PRD_f1d27d37d0
USR_aceda5439a,PRD_c63610d3c1
USR_aceda5439a,PRD_c63610d3c1
USR_aceda5439a,PRD_c63610d3c1
USR_aceda5439a,PRD_c63610d3c1
USR_aceda5439a,PRD_c63610d3c1
USR_aceda5439a,PRD_ba470eb441
USR_aceda5439a,PRD_ba470eb441
USR_aceda5439a,PRD_ba470eb441
USR_aceda5439a,PRD_ba470eb441
USR_aceda5439a,PRD_ba470eb441
USR_aceda5439a,PRD_01210ecb56
USR_aceda5439a,PRD_01210ecb56
USR_aceda5439a,PRD_01210ecb56
USR_aceda5439a,PRD_01210ecb56
USR_aceda5439a,PRD_01210ecb56
USR_7c6dbed8e1,PRD_6ce68907ec
USR_7c6dbed8e1,PRD_6ce68907ec
USR_7c6dbed8e1,PRD_6ce68907ec
USR_7c6dbed8e1,PRD_6ce68907ec
USR_7c6dbed8e1,PRD_6ce68907ec
USR_7c6dbed8e1,PRD_240a88374a
USR_7c6dbed8e1,PRD_240a88374a
USR_7c6dbed8e1,PRD_240a88374a
USR_7c6dbed8e1,PRD_240a88374a
USR_7c6dbed8e1,PRD_240a88374a
USR_7c6dbed8e1,PRD_949dfbfccd
USR_7c6dbed8e1,PRD_949dfbfccd
USR_7c6dbed8e1,PRD_949dfbfccd
USR_7c6dbed8e1,PRD_949dfbfccd
USR_7c6dbed8e1,PRD_949dfbfccd
USR_7c6dbed8e1,PRD_7d124adbe9
USR_7c6dbed8e1,PRD_7d124adbe9
USR_7c6dbed8e1,PRD_7d124adbe9
USR_7c6dbed8e1,PRD_7d124adbe9
USR_7c6dbed8e1,PRD_7d124adbe9
USR_7c6dbed8e1,PRD_08426c53e5
USR_7c6dbed8e1,PRD_08426c53e5
USR_7c6dbed8e1,PRD_08426c53e5
USR_7c6dbed8e1,PRD_08426c53e5
USR_7c6dbed8e1,PRD_08426c53e5
USR_b908f30d26,PRD_e0a2955e19
USR_b908f30d26,PRD_e0a2955e19
USR_b908f30d26,PRD_e0a2955e19
USR_b908f30d26,PRD_e0a2955e19
USR_b908f30d26,PRD_e0a2955e19
USR_b908f30d26,PRD_94cf286d0c
USR_b908f30d26,PRD_94cf286d0c
USR_b908f30d26,PRD_94cf286d0c
USR_b908f30d26,PRD_94cf286d0c
USR_b908f30d26,PRD_94cf286d0c
USR_b908f30d26,PRD_8373cb2914
USR_b908f30d26,PRD_8373cb2914
USR_b908f30d26,PRD_8373cb2914
USR_b908f30d26,PRD_8373cb2914
USR_b908f30d26,PRD_8373cb2914
USR_b908f30d26,PRD_9c32488aeb
USR_b908f30d26,PRD_9c32488aeb
USR_b908f30d26,PRD_9c32488aeb
USR_b908f30d26,PRD_9c32488aeb
USR_b908f30d26,PRD_9c32488aeb
USR_b908f30d26,PRD_4ecef38bab
USR_b908f30d26,PRD_4ecef38bab
